ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,outcome_60d,outcome_90d,outcome_180d,iwm_60d,iwm_90d,iwm_180d
SSP,E.W. Scripps Co,2022-11-07,2022-11-03,2022-11-03,6374022,8,848.6,$500M-$5B,False,False,8.691728591918945,24.05,25.17,20.33,2022-11-14,2022-11-17,2022-12-07,False,,15.23,-33.41,-28.68,10.26,-2.92,10.65
VRNS,Varonis Systems Inc,2022-11-07,2022-11-03,2022-11-07,1601536,3,1828.5,$500M-$5B,True,False,18.670000076293945,11.03,10.61,9.86,2022-11-14,2022-11-17,2022-12-07,False,,59.25,56.84,68.96,10.26,-2.92,10.65
PLAY,"Dave &amp; Buster'S Entertainment, Inc.",2022-12-12,2022-12-08,2022-12-08,747328,3,1728.8,$500M-$5B,False,False,35.61000061035156,-7.08,-2.08,14.86,2022-12-19,2022-12-22,2023-01-11,False,,0.39,-4.33,9.69,-2.06,-1.0,5.53
MLYS,"Mineralys Therapeutics, Inc.",2023-02-16,2023-02-14,2023-02-14,19100000,3,693.3,$500M-$5B,False,False,17.93000030517578,1.0,-4.46,-17.18,2023-02-23,2023-02-27,2023-03-20,False,,-9.01,-9.07,-56.06,-8.89,-3.71,-8.39
ZION,"Zions Bancorporation, National Association /ut/",2023-05-05,2023-05-01,2023-05-04,1235415,3,3128.1,$500M-$5B,False,False,21.56624794006348,-7.54,0.29,20.46,2023-05-12,2023-05-15,2023-06-05,False,,58.89,56.53,87.55,12.15,6.66,12.66
SFNC,Simmons First National Corp,2023-05-15,2023-04-28,2023-05-12,587090,3,1742.9,$500M-$5B,True,False,13.381072998046877,9.97,9.64,19.44,2023-05-22,2023-05-25,2023-06-14,False,,24.28,7.84,23.17,9.39,1.33,13.04
HPK,"Highpeak Energy, Inc.",2023-07-21,2023-07-19,2023-07-19,80364984,3,1418.9,$500M-$5B,False,False,14.426309585571287,-7.72,1.75,-5.34,2023-07-28,2023-07-31,2023-08-21,False,,34.62,22.8,22.91,-10.61,-8.01,7.29
RILY,"B. Riley Financial, Inc.",2023-07-27,2023-07-25,2023-07-26,9049920,3,1424.5,$500M-$5B,False,False,50.35811996459961,-5.69,-0.91,-10.67,2023-08-03,2023-08-07,2023-08-28,False,,-29.86,-61.69,-58.65,-13.77,-3.17,2.06
SABR,Sabre Corp,2023-08-09,2023-08-08,2023-08-09,936038,3,1690.2,$500M-$5B,False,False,5.440000057220459,-2.94,-4.23,-7.54,2023-08-16,2023-08-21,2023-09-08,False,,-31.24,-12.97,-45.78,-10.91,3.34,4.68
EMBC,Embecta Corp.,2023-08-10,2023-08-10,2023-08-10,311094,3,1058.7,$500M-$5B,True,False,18.48712921142578,-10.95,-17.57,-21.71,2023-08-17,2023-08-21,2023-09-11,False,,-24.58,-15.26,-49.12,-8.08,3.84,5.99
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2023-08-21,2023-08-18,2023-08-21,527000,4,1802.1,$500M-$5B,True,False,17.556669235229492,-1.07,8.65,16.32,2023-08-28,2023-08-31,2023-09-20,False,,17.87,49.44,64.26,-2.76,11.59,11.73
SANA,"Sana Biotechnology, Inc.",2024-02-12,2024-02-08,2024-02-08,29999988,3,1242.4,$500M-$5B,False,False,6.269999980926514,29.82,29.03,57.1,2024-02-20,2024-02-22,2024-03-13,False,,50.63,-12.54,-40.0,0.66,-0.76,10.21
SOWG,Sow Good Inc.,2024-04-12,2024-03-28,2024-03-28,1837514,4,1999.8,$500M-$5B,False,False,293.3999938964844,-11.4,-10.53,-44.27,2024-04-19,2024-04-22,2024-05-13,False,,-2.27,-29.09,-89.86,2.64,8.74,12.09
NEOG,Neogen Corp,2024-04-17,2024-04-10,2024-04-17,564101,3,2629.6,$500M-$5B,True,False,11.93000030517578,3.69,4.11,13.5,2024-04-24,2024-04-29,2024-05-17,False,,35.5,38.22,-1.65,12.85,14.54,17.35
KRRO,"Korro Bio, Inc.",2024-04-24,2024-04-22,2024-04-22,9999920,10,584.1,$500M-$5B,False,False,58.52999877929688,4.2,-3.5,-16.54,2024-05-01,2024-05-06,2024-05-24,False,,-27.66,-24.24,-44.02,11.75,8.23,10.91
VYX,Ncr Voyix Corp,2024-08-15,2024-08-08,2024-08-13,490025,3,1860.8,$500M-$5B,False,False,12.859999656677246,-1.56,4.59,3.65,2024-08-22,2024-08-26,2024-09-16,False,,9.14,8.83,-31.25,12.68,5.09,-6.4
MBX,"Mbx Biosciences, Inc.",2024-09-17,2024-09-16,2024-09-16,112000000,13,684.9,$500M-$5B,False,False,21.0,9.48,14.05,10.29,2024-09-24,2024-09-27,2024-10-17,False,,0.7,-51.67,-44.84,8.74,4.01,
